Id,SalePrice
2,121343.6066864263
4,278045.35701200366
6,192963.73043442535
7,227443.32508290984
17,209250.68777965952
18,365533.51880941004
22,194214.41192356063
27,113885.7173693806
31,97946.74561772187
36,148305.16453661554
39,395037.8444123245
40,258017.47713432135
42,317496.04788570956
46,227523.22468929162
53,155814.7547769087
58,172688.38818147124
61,314361.80386286404
72,235718.40167460268
79,103929.9210051314
80,205579.878997225
82,159841.11910524996
83,93897.28521549286
85,145094.7772367809
88,121240.23624092346
92,300896.5874664893
93,289714.9139405035
95,178436.55453602638
102,185948.51172362512
103,169271.86079785376
106,228317.34706405265
107,155145.01115862947
110,219196.91358429764
114,208845.32353398035
116,180934.92508515072
117,158912.80608341086
118,144414.69947458926
125,168571.14950879698
126,169285.3818273112
127,143139.1436726554
128,211214.50099313576
134,145858.5688762026
135,189907.47202849382
137,251524.78659799718
143,144259.98383889018
147,140041.79894339165
148,184637.51702998063
150,120998.90566274946
156,145314.44496640342
157,122550.13612009888
159,139007.59549163378
161,244286.818297942
167,153498.12800818658
170,118788.02880977202
171,78646.42063979775
175,111974.58941323997
179,132810.7409943463
181,106126.32154405456
186,203093.73862090587
193,191639.13279203465
194,73499.37706431145
206,120095.51798651068
208,137125.26984603744
210,172811.0823565768
211,79782.66194529865
212,112334.61597219914
214,95394.02500670901
215,129018.4464874642
217,140852.81371305254
222,150575.8140428125
227,154788.2724469918
228,161647.2571856095
233,235927.30403727118
235,144941.55332622558
238,140296.1729080425
241,166780.7377601323
252,179660.71279420736
253,183373.650788122
256,151165.41250336237
257,159350.19896987124
258,192325.42390416723
259,185134.60607549397
261,157830.3628070333
263,121417.15185069974
266,223294.58916209647
267,217589.10648623476
270,136981.39755879532
271,244060.33010228694
276,107994.48522806971
285,151077.7698485172
288,61503.1542777133
289,148754.59611298743
290,116305.73281981453
291,132542.2792474079
292,115107.3308404469
293,182106.84179798074
294,230175.99328066938
295,189843.4582597707
304,117108.9312990339
322,353251.7225596969
326,170634.7465274872
327,86396.31662050306
328,134322.4820337454
331,73828.96975676005
332,70974.52550914281
333,88591.39158244236
335,154722.83492315788
337,181016.23389636824
342,125203.29954144619
343,180093.33563865712
347,181306.60669625417
350,342368.21157426963
352,238757.361158707
358,211958.6931283757
359,175701.65442877205
360,156257.87549699712
368,331951.51241525763
369,278901.24967173993
373,185819.17463797246
377,243988.69687315403
383,179996.03112401968
386,217650.06982134574
387,227717.98175735786
390,166155.16782666868
391,153144.19393638184
395,157447.4046326052
397,136338.39199885709
398,115859.19583068593
401,120128.97060766781
404,114176.77611276493
408,118111.0497299688
409,123850.33546410728
410,147891.23390770747
418,123688.80119707953
422,429483.8710019548
427,379891.09652511263
431,408983.82344599953
433,469780.7940652778
437,361627.21030278876
438,278798.0425729633
442,366234.7970222808
447,237324.17445444997
459,356296.41285556473
460,300273.11272124224
464,198678.04817377473
465,180077.17625644951
467,175052.2531389778
468,180698.97097711335
474,156828.4732930549
480,193174.53814265586
481,194314.97053344545
483,213579.76013160136
488,182324.89626460336
